lemma,absolute_women,relative_women,absolute_men,relative_men,delta
Banktermin,0.0,0.0,2.0,0.00020090406830738323,-0.00020090406830738323
Bann,9.0,0.0005339345040341718,2.0,0.00020090406830738323,0.00033303043572678864
Bar,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Bar-Nacht,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Barclay,34.0,0.0020170859041290937,0.0,0.0,0.0020170859041290937
Barty,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
Base,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Basilikum,0.0,0.0,13.0,0.001305876443997991,-0.001305876443997991
Basilikum-Not,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Basis,33.0,0.0019577598481252964,30.0,0.0030135610246107484,-0.001055801176485452
Basisakkord,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Basisnot,24.0,0.0014238253440911248,18.0,0.001808136614766449,-0.0003843112706753242
Basisnote,24.0,0.0014238253440911248,16.0,0.0016072325464590658,-0.000183407202367941
Basisnoter,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Basistreffen,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Bass,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Bass-Saite,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Baummoos,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Be,16.0,0.0009492168960607499,4.0,0.00040180813661476645,0.0005474087594459834
Beach-Feeling,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Beachparty,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Bean,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Beat,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Beauty-Sieger,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Because,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Beckham,0.0,0.0,5.0,0.0005022601707684581,-0.0005022601707684581
Bedeutung,1.0,5.932605600379687e-05,1.0,0.00010045203415369161,-4.1125978149894744e-05
Bedürfnis,0.0,0.0,2.0,0.00020090406830738323,-0.00020090406830738323
Beere,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Beeren,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Beeren-Ton,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Begegnung,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
Begeisterung,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Begierden,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Beginn,5.0,0.00029663028001898433,0.0,0.0,0.00029663028001898433
Begleiter,10.0,0.0005932605600379687,17.0,0.0017076845806127574,-0.0011144240205747888
Begleitung,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
